GEOID,P01,NAME
19101,16310,Jefferson County
19103,96119,Johnson County
19105,19444,Jones County
19107,11624,Keokuk County
19109,18591,Kossuth County
19111,38687,Lee County
19113,168767,Linn County
19115,11592,Louisa County
19117,9070,Lucas County
19119,11952,Lyon County
19121,12483,Madison County
19123,21532,Mahaska County
19125,30001,Marion County
19127,38276,Marshall County
19129,13202,Mills County
19131,10928,Mitchell County
19133,10034,Monona County
19135,8114,Monroe County
19137,12076,Montgomery County
19139,39907,Muscatine County
19141,15444,O'Brien County
19143,7267,Osceola County
19145,16870,Page County
19147,10669,Palo Alto County
19149,23388,Plymouth County
19151,9525,Pocahontas County
19153,327140,Polk County
19155,82628,Pottawattamie County
19157,19033,Poweshiek County
19159,5420,Ringgold County
19161,12324,Sac County
19163,150973,Scott County
19165,13230,Shelby County
19167,29903,Sioux County
19169,74252,Story County
19171,17419,Tama County
19173,7114,Taylor County
19175,12750,Union County
19177,7676,Van Buren County
19179,35696,Wapello County
19181,36033,Warren County
19183,19612,Washington County
19185,7067,Wayne County
19187,40342,Webster County
19189,12122,Winnebago County
19191,20847,Winneshiek County
19193,98276,Woodbury County
19195,7991,Worth County
19197,14269,Wright County
20001,14638,Allen County
20003,7803,Anderson County
20005,16932,Atchison County
20007,5874,Barber County
20009,29382,Barton County
20011,14966,Bourbon County
20013,11128,Brown County
20015,50580,Butler County
20017,3021,Chase County
20019,4407,Chautauqua County
20021,21374,Cherokee County
20023,3243,Cheyenne County
20025,2418,Clark County
20027,9158,Clay County
20029,11023,Cloud County
20031,8404,Coffey County
20033,2313,Comanche County
20035,36915,Cowley County
20037,35582,Crawford County
20039,4021,Decatur County
20041,18958,Dickinson County
20043,8134,Doniphan County
20045,81798,Douglas County
20047,3787,Edwards County
20049,3327,Elk County
20051,26004,Ellis County
20053,6586,Ellsworth County
20055,33070,Finney County
20057,27463,Ford County
20059,21994,Franklin County
20061,30453,Geary County
20063,3231,Gove County
20065,3543,Graham County
20067,7159,Grant County
20069,5396,Gray County
20071,1774,Greeley County
20073,7847,Greenwood County
20075,2388,Hamilton County
20077,7124,Harper County
20079,31028,Harvey County
20081,3886,Haskell County
20083,2177,Hodgeman County
20085,11525,Jackson County
20087,15905,Jefferson County
20089,4251,Jewell County
20091,355021,Johnson County
20093,4027,Kearny County
20095,8292,Kingman County
20097,3660,Kiowa County
20099,23693,Labette County
20101,2375,Lane County
20103,64371,Leavenworth County
20105,3653,Lincoln County
20107,8254,Linn County
20109,3081,Logan County
